"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@RunTheJules It was only on my second watch that I saw that this scene was foreshadowing Ki Taek killing Dong Ik. T… https://t.co/WJ2GbDZNto",FALSE,1,"RunTheJules",2020-04-17 04:29:27,TRUE,"1250998987898814466","1251004825518567426","26096958","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZenBoiLakerFan",0,FALSE,FALSE,NA,NA
"2","@michixmachi Is Ki taek down there?",FALSE,2,"michixmachi",2020-04-14 01:03:05,FALSE,"1249720954131042304","1249865726896361486","946069705596592129","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SwifeJaebum",0,FALSE,FALSE,NA,NA
"3","@dimasharyow @ParasiteMovie Ki Taek is the only one without a smile...",FALSE,0,"dimasharyow",2020-04-13 14:12:45,FALSE,"1249660492362051584","1249702067012276227","70980597","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thorr237",0,FALSE,FALSE,NA,NA
"4","@ParasiteMovie any lockdown tips from kim ki taek....bored in home",FALSE,0,"ParasiteMovie",2020-04-13 12:00:37,FALSE,NA,"1249668812103811073","1057666363433529344","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","VamshiGarlapad",0,FALSE,FALSE,NA,NA
"5","Ki Taek: With no plan, nothing can go wrong... #parasite 
https://t.co/IE14U9lBp7",FALSE,0,NA,2020-04-13 02:15:18,FALSE,NA,"1249521513394388992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","syndrygast",0,FALSE,FALSE,NA,NA
