"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1177","RT @hulu: this is an appreciation post for zoonie, berry, and foofoo. #Parasite https://t.co/NMgB9IRIi2",FALSE,0,NA,2020-04-15 09:07:24,FALSE,NA,"1250349996462895105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","khairaDan",49,TRUE,FALSE,NA,NA
"1178","RT @MoviePolls4U: The best one word movie beginning with the letter P - QUARTER FINAL 1️⃣ #Parenthood #Parasite #Prisoners #Pinocchio",FALSE,0,NA,2020-04-15 08:59:43,FALSE,NA,"1250348064574812160",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MoviePolls4U",3,TRUE,FALSE,NA,NA
"1179","RT @hulu: #BongHive rise up. 

#Parasite is now the #1 independent or international film to ever run on Hulu. 👏 https://t.co/XFAEH9JT2O",FALSE,0,NA,2020-04-15 08:56:29,FALSE,NA,"1250347251894870018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChelseaBaumann2",207,TRUE,FALSE,NA,NA
"1180","Bitch #Parasite gave me everything I NEEDED. the acting, the camera work, the ending, THAT HOUSE BITCH 🤯😳 https://t.co/GgyTzE8nY3",FALSE,0,NA,2020-04-15 08:50:16,FALSE,NA,"1250345687369187328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Miketheaquarian",0,FALSE,FALSE,NA,NA
"1181","RT @neonrated: Knock like you own the place. #Parasite star Park So Dam teaches us the Jessica Jingle, now available to download at https:/…",FALSE,0,NA,2020-04-15 08:49:28,FALSE,NA,"1250345484876525571",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AdrianV36975761",3636,TRUE,FALSE,NA,NA
"1182","RT @RottenTomatoes: This week's #Fresh Indie Finds:
#WeSummonTheDarkness - 67%
#SeaFever - 84%
#LesMisérables - 84%
#Parasite - 99% https:/…",FALSE,0,NA,2020-04-15 08:45:45,FALSE,NA,"1250344547852271616",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IFTN",17,TRUE,FALSE,NA,NA
"1183","plans r useless but planning is indispensable 
#Parasite (1) https://t.co/Mq35HgHrdB",FALSE,0,"saam_inna",2020-04-15 08:32:18,FALSE,"1249743912647843843","1250341165963960330","2368476883","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saam_inna",0,FALSE,FALSE,NA,NA
"1184","RT @JoyceLauNews: Riding the #Kpop wave in #highered. 
The success of bands like #BTS &amp; films like #Parasite drive interest in #Hallyu stud…",FALSE,0,NA,2020-04-15 08:23:38,FALSE,NA,"1250338982237327362",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CultureForumNrt",4,TRUE,FALSE,NA,NA
"1185","RT @theBurk3nator: My dad just called me after watching #Parasite, and he told me he loved it. It’s possibly the greatest phone call one co…",FALSE,0,NA,2020-04-15 08:23:16,FALSE,NA,"1250338891883634689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","travis112096",4,TRUE,FALSE,NA,NA
"1186","RT @theBurk3nator: My dad just called me after watching #Parasite, and he told me he loved it. It’s possibly the greatest phone call one co…",FALSE,0,NA,2020-04-15 08:21:55,FALSE,NA,"1250338553365577728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rachel_reviews",4,TRUE,FALSE,NA,NA
"1187","RT @babygirlhotdog: Watched #parasite on Hulu finally...

-definitely worth the praise
-holy shit
-be grateful for what you have
-hoLY SHIT…",FALSE,0,NA,2020-04-15 08:00:34,FALSE,NA,"1250333180248256513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cheesecake_bub",30,TRUE,FALSE,NA,NA
"1188","RT @JennBB8: Hulu coming for the #Parasite haters is a bit of sunshine https://t.co/CGlVRG7XsM",FALSE,0,NA,2020-04-15 07:56:23,FALSE,NA,"1250332125829586945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Corn798",1707,TRUE,FALSE,NA,NA
"1189","@the_vello facts. 

#Parasite also all about it https://t.co/4o2ZVggp1N",FALSE,1,"the_vello",2020-04-15 07:54:52,FALSE,"1250247883644907520","1250331742080102400","93330058","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","helenluuser",0,FALSE,FALSE,NA,NA
